,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
0,Renaissance Hotel,0,342,2018,July,27,1,0,0,2,0,0,BB,PRT,Direct,0,0,0,C,C,3,No Deposit,,,0,Transient,0.0,0,0
1,Renaissance Hotel,0,737,2018,July,27,1,0,0,2,0,0,BB,PRT,Direct,0,0,0,C,C,4,No Deposit,,,0,Transient,0.0,0,0
2,Renaissance Hotel,0,7,2018,July,27,1,0,1,1,0,0,BB,GBR,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,75.0,0,0
3,Renaissance Hotel,0,13,2018,July,27,1,0,1,1,0,0,BB,GBR,Corporate,0,0,0,A,A,0,No Deposit,304.0,,0,Transient,75.0,0,0
4,Renaissance Hotel,0,14,2018,July,27,1,0,2,2,0,0,BB,GBR,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,98.0,0,1
5,Renaissance Hotel,0,14,2018,July,27,1,0,2,2,0,0,BB,GBR,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,98.0,0,1
6,Renaissance Hotel,0,0,2018,July,27,1,0,2,2,0,0,BB,PRT,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,107.0,0,0
7,Renaissance Hotel,0,9,2018,July,27,1,0,2,2,0,0,FB,PRT,Direct,0,0,0,C,C,0,No Deposit,303.0,,0,Transient,103.0,0,1
8,Renaissance Hotel,1,85,2018,July,27,1,0,3,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,82.0,0,1
9,Renaissance Hotel,1,75,2018,July,27,1,0,3,2,0,0,HB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,15.0,,0,Transient,105.5,0,0
10,Renaissance Hotel,1,23,2018,July,27,1,0,4,2,0,0,BB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,123.0,0,0
11,Renaissance Hotel,0,35,2018,July,27,1,0,4,2,0,0,HB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,145.0,0,0
12,Renaissance Hotel,0,68,2018,July,27,1,0,4,2,0,0,BB,USA,TA/TO,0,0,0,D,E,0,No Deposit,240.0,,0,Transient,97.0,0,3
13,Renaissance Hotel,0,18,2018,July,27,1,0,4,2,1,0,HB,ESP,TA/TO,0,0,0,G,G,1,No Deposit,241.0,,0,Transient,154.77,0,1
14,Renaissance Hotel,0,37,2018,July,27,1,0,4,2,0,0,BB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,94.71,0,0
15,Renaissance Hotel,0,68,2018,July,27,1,0,4,2,0,0,BB,IRL,TA/TO,0,0,0,D,E,0,No Deposit,240.0,,0,Transient,97.0,0,3
16,Renaissance Hotel,0,37,2018,July,27,1,0,4,2,0,0,BB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,8.0,,0,Contract,97.5,0,0
17,Renaissance Hotel,0,12,2018,July,27,1,0,1,2,0,0,BB,IRL,TA/TO,0,0,0,A,E,0,No Deposit,240.0,,0,Transient,88.2,0,0
18,Renaissance Hotel,0,0,2018,July,27,1,0,1,2,0,0,BB,FRA,Corporate,0,0,0,A,G,0,No Deposit,,110.0,0,Transient,107.42,0,0
19,Renaissance Hotel,0,7,2018,July,27,1,0,4,2,0,0,BB,GBR,Direct,0,0,0,G,G,0,No Deposit,250.0,,0,Transient,153.0,0,1
20,Renaissance Hotel,0,37,2018,July,27,1,1,4,1,0,0,BB,GBR,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,97.29,0,1
21,Renaissance Hotel,0,72,2018,July,27,1,2,4,2,0,0,BB,PRT,Direct,0,0,0,A,A,1,No Deposit,250.0,,0,Transient,84.67,0,1
22,Renaissance Hotel,0,72,2018,July,27,1,2,4,2,0,0,BB,PRT,Direct,0,0,0,A,A,1,No Deposit,250.0,,0,Transient,84.67,0,1
23,Renaissance Hotel,0,72,2018,July,27,1,2,4,2,0,0,BB,PRT,Direct,0,0,0,D,D,1,No Deposit,250.0,,0,Transient,99.67,0,1
